workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
normal,10,PRM,38.4846,51.6666,30.8414,0.96276,0.073328,6.0,0.6,0.38208000000000003,197.73,11.6,0.58,136.948
normal,10,PRR,40.0882,53.2702,29.237599999999997,0.96276,0.073328,6.2,0.62,0.33714,197.73,17.2,0.86,136.948
normal,10,Proposed Hybrid,44.2126,57.394600000000004,25.8464,0.96276,0.073328,7.4,0.74,0.3054,197.73,23.2,1.1600000000000001,136.948
normal,20,Contextual Bandit RL,112.31109999999998,125.375,32.5021,0.98074,0.07517399999999999,16.2,0.8099999999999999,0.18460000000000001,391.91700000000003,57.0,2.85,266.406
normal,20,PRM,78.63969999999999,91.70360000000001,67.0764,0.98074,0.07517399999999999,13.6,0.6799999999999999,0.27764,391.91700000000003,24.0,1.2,266.406
normal,20,PRR,82.2159,95.2798,63.4731,0.98074,0.07517399999999999,13.8,0.6900000000000001,0.24398,391.91700000000003,46.8,2.34,266.406
normal,20,Proposed Hybrid,91.1506,104.2145,54.5259,0.98074,0.07517399999999999,16.2,0.8099999999999999,0.20800000000000002,391.91700000000003,53.8,2.69,266.406
normal,50,Contextual Bandit RL,301.39336,314.7406,94.38784,0.99238,0.07441400000000001,40.8,0.8160000000000001,0.14589999999999997,1001.043,151.2,7.56,672.49
normal,50,PRM,207.57096,220.91819999999998,192.47539999999998,0.99238,0.07441400000000001,38.0,0.76,0.21042,1001.043,58.6,2.93,672.49
normal,50,PRR,219.54636,232.89360000000002,174.97628,0.99238,0.07441400000000001,38.4,0.768,0.187,1001.043,153.2,7.659999999999999,672.49
normal,50,Proposed Hybrid,240.59668000000002,253.94392,143.98792,0.99238,0.07441400000000001,42.2,0.844,0.14618,1001.043,149.4,7.470000000000001,672.49
normal,100,Contextual Bandit RL,537.4130600000001,550.3150800000001,223.06036,0.99604,0.07724800000000001,77.6,0.776,0.17187999999999998,1935.3029999999999,283.0,14.15,1295.33
normal,100,PRM,400.8776,413.77961999999997,384.76644,0.99604,0.07724800000000001,77.2,0.772,0.1887,1935.3029999999999,118.0,5.9,1295.33
normal,100,PRR,425.83245999999997,438.73447999999996,349.25684,0.99604,0.07724800000000001,81.0,0.8099999999999999,0.15832,1935.3029999999999,314.8,15.74,1295.33
normal,100,Proposed Hybrid,476.30522,489.20724,299.42032,0.99604,0.07724800000000001,90.2,0.9019999999999999,0.09168,1935.3029999999999,297.0,14.85,1295.33
