cpu_config,workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
ARM-like,normal,10,PRR,50.324200000000005,65.83239999999999,34.24888,0.9681200000000001,0.062676,7.2,0.72,0.4016,220.99259999999998,18.6,0.93,160.2106
ARM-like,normal,10,Proposed Hybrid,58.12888,73.63712000000001,28.13548,0.9681200000000001,0.062676,8.0,0.8,0.3955,220.99259999999998,25.6,1.28,160.2106
ARM-like,normal,20,Contextual Bandit RL,146.1262,161.4955,41.49914,0.9836,0.064084,17.6,0.8800000000000001,0.18218,438.025,60.2,3.0100000000000002,312.514
ARM-like,normal,20,PRM,101.0509,116.4202,84.24428,0.9836,0.064084,14.6,0.73,0.22766000000000003,438.025,23.8,1.19,312.514
ARM-like,normal,20,PRR,104.52029999999999,119.8896,78.1469,0.9836,0.064084,15.2,0.76,0.29632000000000003,438.025,50.8,2.54,312.514
ARM-like,normal,20,Proposed Hybrid,122.17321999999999,137.54252,70.4255,0.9836,0.064084,17.4,0.8699999999999999,0.28876,438.025,59.2,2.96,312.514
ARM-like,normal,50,Contextual Bandit RL,389.95029999999997,405.65294,123.3742,0.9934799999999999,0.063326,42.8,0.8560000000000001,0.13704,1118.8128000000002,156.2,7.81,790.2598
ARM-like,normal,50,PRM,266.23342,281.93606,246.43397999999996,0.9934799999999999,0.063326,40.4,0.808,0.17170000000000002,1118.8128000000002,58.8,2.94,790.2598
ARM-like,normal,50,PRR,279.54404,295.24664,224.21599999999998,0.9934799999999999,0.063326,41.8,0.836,0.17764,1118.8128000000002,159.4,7.970000000000001,790.2598
ARM-like,normal,50,Proposed Hybrid,320.21972,335.92235999999997,180.96174000000002,0.9934799999999999,0.063326,44.0,0.8800000000000001,0.15924,1118.8128000000002,156.6,7.830000000000001,790.2598
ARM-like,normal,100,Contextual Bandit RL,715.8699399999999,731.04874,275.83714,0.99664,0.065698,84.4,0.844,0.14844,2162.9858,299.6,14.98,1523.0128
ARM-like,normal,100,PRM,513.88768,529.0665200000001,493.68402,0.99664,0.065698,83.6,0.836,0.14818,2162.9858,115.8,5.79,1523.0128
ARM-like,normal,100,PRR,544.3199999999999,559.4988599999999,449.72378,0.99664,0.065698,86.8,0.868,0.13696,2162.9858,324.4,16.22,1523.0128
ARM-like,normal,100,Proposed Hybrid,616.2154800000001,631.39428,386.7459,0.99664,0.065698,91.2,0.9120000000000001,0.09692,2162.9858,311.2,15.559999999999999,1523.0128
RISC-V-like,bursty,5,Contextual Bandit RL,77.36958,107.59306,16.60044,0.9685600000000001,0.03329,4.2,0.8400000000000001,0.6905,302.235,21.8,1.09,156.33319999999998
RISC-V-like,bursty,5,PRM,48.70044,78.92394,34.5261,0.9685600000000001,0.03329,2.6,0.52,0.3022,302.235,5.2,0.26,156.33319999999998
RISC-V-like,bursty,5,PRR,49.238260000000004,79.46173999999999,26.4748,0.9685600000000001,0.03329,2.8,0.5599999999999999,0.42526,302.235,10.8,0.54,156.33319999999998
RISC-V-like,bursty,5,Proposed Hybrid,57.00305999999999,87.22654,15.839580000000002,0.9685600000000001,0.03329,3.2,0.64,0.68876,302.235,20.2,1.01,156.33319999999998
RISC-V-like,bursty,10,Contextual Bandit RL,178.67252000000002,209.30514,36.458839999999995,0.98338,0.032396,9.0,0.9,0.25773999999999997,612.6524000000001,55.2,2.7600000000000002,311.5422
RISC-V-like,bursty,10,PRM,110.53904,141.17164,93.83512,0.98338,0.032396,6.6,0.6599999999999999,0.21147999999999997,612.6524000000001,11.0,0.55,311.5422
RISC-V-like,bursty,10,PRR,115.74513999999999,146.37774,83.64318,0.98338,0.032396,7.8,0.78,0.27284,612.6524000000001,29.6,1.48,311.5422
RISC-V-like,bursty,10,Proposed Hybrid,137.00884000000002,167.64144000000002,46.50838,0.98338,0.032396,8.2,0.82,0.38234,612.6524000000001,50.4,2.52,311.5422
RISC-V-like,bursty,20,Contextual Bandit RL,357.3984,387.61948,79.06156,0.99138,0.032908,19.0,0.95,0.1766,1208.8434,121.4,6.07,609.6376
RISC-V-like,bursty,20,PRM,235.74958,265.97069999999997,216.47458,0.99138,0.032908,15.8,0.79,0.14998,1208.8434,22.6,1.1300000000000001,609.6376
RISC-V-like,bursty,20,PRR,246.97178,277.19286,189.46328,0.99138,0.032908,16.6,0.8300000000000001,0.25744,1208.8434,98.0,4.9,609.6376
RISC-V-like,bursty,20,Proposed Hybrid,287.6734,317.89448000000004,120.05828,0.99138,0.032908,18.0,0.9,0.23698000000000002,1208.8434,112.4,5.62,609.6376
RISC-V-like,bursty,50,Contextual Bandit RL,969.38136,1000.58878,242.25146,0.9966200000000001,0.031998,46.0,0.9199999999999999,0.09713999999999999,3120.7434000000003,327.4,16.37,1565.5876
RISC-V-like,bursty,50,PRM,642.94504,674.1524999999999,616.38526,0.9966200000000001,0.031998,42.8,0.8560000000000001,0.10522000000000001,3120.7434000000003,57.8,2.8899999999999997,1565.5876
RISC-V-like,bursty,50,PRR,669.2479799999999,700.45544,546.02594,0.9966200000000001,0.031998,45.8,0.916,0.11242,3120.7434000000003,340.6,17.029999999999998,1565.5876
RISC-V-like,bursty,50,Proposed Hybrid,761.5879199999999,792.79536,337.7217,0.9966200000000001,0.031998,46.8,0.9359999999999999,0.10995999999999999,3120.7434000000003,326.0,16.3,1565.5876
RISC-V-like,bursty,100,Contextual Bandit RL,1742.09528,1771.75406,527.6567,0.99824,0.033706,90.4,0.9040000000000001,0.08,5931.7654,630.2,31.51,2971.0984
RISC-V-like,bursty,100,PRM,1239.44256,1269.10134,1214.28062,0.99824,0.033706,90.2,0.9019999999999999,0.0779,5931.7654,114.2,5.71,2971.0984
RISC-V-like,bursty,100,PRR,1280.3039199999998,1309.96272,1085.5764800000002,0.99824,0.033706,93.6,0.9359999999999999,0.06568,5931.7654,688.6,34.42999999999999,2971.0984
RISC-V-like,bursty,100,Proposed Hybrid,1439.40934,1469.06818,780.07782,0.99824,0.033706,95.6,0.9560000000000001,0.05406,5931.7654,644.0,32.2,2971.0984
RISC-V-like,cpu_heavy,5,Contextual Bandit RL,122.66551999999999,167.77942000000002,25.97726,0.9867799999999999,0.022112,4.4,0.8800000000000001,0.63124,563.9238,31.4,1.5699999999999998,228.6552
RISC-V-like,cpu_heavy,5,PRM,82.72592,127.83984000000001,62.732040000000005,0.9867799999999999,0.022112,3.0,0.6,0.25234,563.9238,5.0,0.25,228.6552
RISC-V-like,cpu_heavy,5,PRR,84.67378,129.78768,50.434659999999994,0.9867799999999999,0.022112,3.4,0.6799999999999999,0.34718,563.9238,15.2,0.76,228.6552
