workload_type,num_vms,cpu_config,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead
cpu_heavy,20,RISC-V-like,Contextual Bandit RL,649.9852,695.0967,134.9781,0.9966,0.0221,0.9500,0.1337,2255.5762,186.8000,9.3400
cpu_heavy,20,RISC-V-like,PRM,400.9538,446.0653,375.2458,0.9966,0.0221,0.8900,0.0902,2255.5762,21.4000,1.0700
cpu_heavy,20,RISC-V-like,PRR,425.6879,470.7994,342.2072,0.9966,0.0221,0.9200,0.2548,2255.5762,163.8000,8.1900
cpu_heavy,20,RISC-V-like,Proposed Hybrid,570.1378,615.2493,142.0097,0.9966,0.0221,0.9500,0.1852,2255.5762,188.8000,9.4400
cpu_heavy,50,RISC-V-like,Contextual Bandit RL,1758.4826,1804.4162,408.5182,0.9986,0.0218,0.9520,0.0534,5741.6956,492.8000,24.6400
cpu_heavy,50,RISC-V-like,PRM,1060.3135,1106.2471,1028.5904,0.9986,0.0218,0.9440,0.0441,5741.6956,60.0000,3.0000
cpu_heavy,50,RISC-V-like,PRR,1124.6770,1170.6106,931.5031,0.9986,0.0218,0.9720,0.1278,5741.6956,524.0000,26.2000
cpu_heavy,50,RISC-V-like,Proposed Hybrid,1347.1621,1393.0957,458.7372,0.9986,0.0218,0.9600,0.1037,5741.6956,503.4000,25.1700
cpu_heavy,100,RISC-V-like,Contextual Bandit RL,3495.5730,3540.2162,895.5140,0.9993,0.0224,0.9580,0.0419,11160.8100,983.2000,49.1600
cpu_heavy,100,RISC-V-like,PRM,2083.0484,2127.6917,2052.0254,0.9993,0.0224,0.9640,0.0351,11160.8100,116.0000,5.8000
cpu_heavy,100,RISC-V-like,PRR,2208.8484,2253.4917,1856.9860,0.9993,0.0224,0.9880,0.0927,11160.8100,1058.4000,52.9200
cpu_heavy,100,RISC-V-like,Proposed Hybrid,2550.6180,2595.2613,1136.9381,0.9993,0.0224,0.9760,0.0425,11160.8100,997.2000,49.8600
light,5,RISC-V-like,Contextual Bandit RL,0.1460,5.8255,0.1460,0.5316,0.0935,0.0000,0.9699,28.3978,4.0000,0.2000
light,5,RISC-V-like,PRM,0.1460,5.8255,0.1460,0.5316,0.0935,0.0000,0.9699,28.3978,4.0000,0.2000
light,5,RISC-V-like,PRR,0.1460,5.8255,0.1460,0.5316,0.0935,0.0000,0.9699,28.3978,4.0000,0.2000
light,5,RISC-V-like,Proposed Hybrid,0.1460,5.8255,0.1460,0.5316,0.0935,0.0000,0.9699,28.3978,4.0000,0.2000
light,10,RISC-V-like,Contextual Bandit RL,0.1287,5.8596,0.1287,0.5200,0.0904,0.0000,0.9737,57.3088,9.0000,0.4500
light,10,RISC-V-like,PRM,0.1287,5.8596,0.1287,0.5200,0.0904,0.0000,0.9737,57.3088,9.0000,0.4500
light,10,RISC-V-like,PRR,0.1287,5.8596,0.1287,0.5200,0.0904,0.0000,0.9737,57.3088,9.0000,0.4500
light,10,RISC-V-like,Proposed Hybrid,0.1287,5.8596,0.1287,0.5200,0.0904,0.0000,0.9737,57.3088,9.0000,0.4500
light,20,RISC-V-like,Contextual Bandit RL,0.1200,5.7995,0.1200,0.5298,0.0932,0.0100,0.9755,113.5890,19.0000,0.9500
light,20,RISC-V-like,PRM,0.1200,5.7995,0.1200,0.5298,0.0932,0.0100,0.9755,113.5890,19.0000,0.9500
light,20,RISC-V-like,PRR,0.1200,5.7995,0.1200,0.5298,0.0932,0.0100,0.9755,113.5890,19.0000,0.9500
light,20,RISC-V-like,Proposed Hybrid,0.1200,5.7995,0.1200,0.5298,0.0932,0.0100,0.9755,113.5890,19.0000,0.9500
light,50,RISC-V-like,Contextual Bandit RL,0.1800,5.9830,0.1800,0.5626,0.0970,0.0200,0.9631,290.1478,49.0000,2.4500
light,50,RISC-V-like,PRM,0.1983,6.0013,0.1672,0.5626,0.0970,0.0240,0.9635,290.1478,49.2000,2.4600
light,50,RISC-V-like,PRR,0.1800,5.9830,0.1800,0.5626,0.0970,0.0200,0.9631,290.1478,49.0000,2.4500
light,50,RISC-V-like,Proposed Hybrid,0.1974,6.0004,0.1672,0.5626,0.0970,0.0200,0.9615,290.1478,49.4000,2.4700
light,100,RISC-V-like,Contextual Bandit RL,0.1849,5.7941,0.1849,0.5513,0.0983,0.0160,0.9617,560.9260,99.0000,4.9500
light,100,RISC-V-like,PRM,0.2394,5.8487,0.1624,0.5513,0.0983,0.0220,0.9626,560.9260,99.6000,4.9800
light,100,RISC-V-like,PRR,0.1905,5.7997,0.1821,0.5513,0.0983,0.0180,0.9617,560.9260,99.2000,4.9600
light,100,RISC-V-like,Proposed Hybrid,0.1936,5.8028,0.1785,0.5513,0.0983,0.0160,0.9609,560.9260,99.4000,4.9700
mixed,5,RISC-V-like,Contextual Bandit RL,15.2722,28.9526,9.5104,0.9197,0.0708,0.4400,0.5737,123.1238,7.0000,0.3500
mixed,5,RISC-V-like,PRM,19.4887,33.1691,14.9904,0.9197,0.0708,0.5200,0.4469,123.1238,5.0000,0.2500
mixed,5,RISC-V-like,PRR,16.2726,29.9530,13.7761,0.9197,0.0708,0.5200,0.4712,123.1238,5.8000,0.2900
